设备型号,安装时间,厂家,损坏时间,设计寿命,损坏时的天气,安装地点,运维班,损坏性质
CPU板件,2010-05-25,南瑞继保,2015-03-01,5,雷阵雨,somewhere,维修班1,老化
电源DC220,2018-01-23,许继电气,2021-10-11,4,晴,somewhere,维修班3,0
电源DC220,2016-12-29,南瑞科技,2019-09-20,3,晴,somewhere,维修班1,保护装置故障
显示屏,2016-04-14,南瑞科技,2031-02-14,15,晴,somewhere,维修班3,0
电源DC220,2015-07-08,国电南自,2024-04-05,9,大雨,somewhere,维修班3,0
电源DC220,2018-01-08,深圳南瑞,2023-03-07,6,雷阵雨,somewhere,维修班4,0
电源DC220,2016-04-02,许继电气,2023-10-23,8,大雨,somewhere,维修班2,0
电源DC220,2017-09-17,许继电气,2020-07-10,3,小雨,somewhere,维修班3,直流接地
电源DC220,2011-01-22,国电南自,2018-10-07,8,小雨,somewhere,维修班4,继电器触点故障
电源DC220,2010-02-13,许继电气,2022-12-20,13,冰雹,somewhere,维修班2,0
显示屏,2011-08-31,南瑞科技,2024-04-23,13,大雨,somewhere,维修班1,0
CPU板件,2019-01-05,南瑞继保,2029-07-07,11,小雨,somewhere,维修班4,0
CPU板件,2015-08-17,许继电气,2030-03-22,15,阴,somewhere,维修班2,0
电源DC220,2018-06-20,许继电气,2028-03-25,10,晴,somewhere,维修班1,0
电源DC220,2018-04-12,上海惠安,2028-01-05,10,阴,somewhere,维修班4,0
显示屏,2019-08-05,上海惠安,2028-04-23,9,冰雹,somewhere,维修班1,0
电源DC220,2020-11-15,国电南自,2027-07-05,7,晴,somewhere,维修班2,0
显示屏,2016-03-25,深圳南瑞,2018-11-24,3,大雨,somewhere,维修班3,保护装置故障
电源DC220,2011-09-09,南瑞继保,2020-01-29,9,小雨,somewhere,维修班3,继电器触点故障
电源DC220,2020-10-08,国电南自,2035-08-05,15,阴,somewhere,维修班1,0
电源DC220,2018-03-27,深圳南瑞,2026-10-07,9,晴,somewhere,维修班4,0
CPU板件,2013-11-06,上海惠安,2022-08-13,9,晴,somewhere,维修班1,0
显示屏,2013-09-19,国电南自,2021-05-26,8,小雨,somewhere,维修班1,开关设备故障
电源DC220,2013-08-21,南瑞科技,2025-05-22,12,冰雹,somewhere,维修班3,0
电源DC220,2018-08-24,许继电气,2031-05-24,13,冰雹,somewhere,维修班4,0
显示屏,2010-01-29,南瑞科技,2017-09-11,8,冰雹,somewhere,维修班1,直流接地
CPU板件,2015-12-22,上海惠安,2027-09-19,12,小雨,somewhere,维修班3,0
CPU板件,2016-09-30,许继电气,2020-04-16,4,阴,somewhere,维修班1,保护装置故障
CPU板件,2019-06-29,上海惠安,2030-03-17,11,冰雹,somewhere,维修班4,0
CPU板件,2010-09-06,南瑞科技,2018-07-11,8,冰雹,somewhere,维修班3,老化
CPU板件,2010-09-03,国电南自,2017-07-01,7,雷阵雨,somewhere,维修班1,电流互感器二次回路故障
显示屏,2019-05-18,许继电气,2032-03-13,13,晴,somewhere,维修班2,0
电源DC220,2016-09-27,南瑞科技,2025-04-09,9,阴,somewhere,维修班4,0
CPU板件,2018-08-16,国电南自,2021-04-30,3,大雨,somewhere,维修班1,开关设备故障
电源DC220,2014-04-23,上海惠安,2018-03-11,4,雷阵雨,somewhere,维修班4,继电器触点故障
电源DC220,2018-02-18,深圳南瑞,2029-10-24,12,雷阵雨,somewhere,维修班4,0
CPU板件,2010-05-02,许继电气,2019-02-26,9,小雨,somewhere,维修班3,电流互感器二次回路故障
电源DC220,2011-11-07,深圳南瑞,2014-08-30,3,冰雹,somewhere,维修班4,老化
电源DC220,2015-08-14,南瑞继保,2025-10-03,11,阴,somewhere,维修班4,0
电源DC220,2012-01-20,南瑞继保,2023-07-27,12,小雨,somewhere,维修班1,0
电源DC220,2015-02-05,上海惠安,2017-10-09,3,雷阵雨,somewhere,维修班2,老化
电源DC220,2010-08-31,南瑞继保,2024-06-23,14,小雨,somewhere,维修班3,0
CPU板件,2019-02-17,许继电气,2021-12-30,3,雷阵雨,somewhere,维修班2,0
电源DC220,2017-03-08,许继电气,2020-01-17,3,晴,somewhere,维修班1,直流接地
CPU板件,2012-09-28,国电南自,2024-02-03,12,晴,somewhere,维修班2,0
电源DC220,2011-09-08,南瑞科技,2016-06-19,5,小雨,somewhere,维修班1,开关设备故障
电源DC220,2010-11-30,深圳南瑞,2015-07-29,5,冰雹,somewhere,维修班1,电流互感器二次回路故障
CPU板件,2011-04-10,国电南自,2023-12-19,13,大雨,somewhere,维修班4,0
显示屏,2017-03-13,南瑞科技,2029-12-17,13,小雨,somewhere,维修班3,0
CPU板件,2016-07-16,许继电气,2027-05-18,11,小雨,somewhere,维修班2,0
显示屏,2019-11-03,南瑞科技,2023-08-19,5,大雨,somewhere,维修班1,0
电源DC220,2012-10-19,深圳南瑞,2022-08-13,10,小雨,somewhere,维修班2,0
显示屏,2011-12-22,许继电气,2020-10-18,9,阴,somewhere,维修班2,老化
显示屏,2013-09-30,上海惠安,2021-06-02,8,雷阵雨,somewhere,维修班4,电流互感器二次回路故障
显示屏,2018-07-13,许继电气,2026-05-02,8,雷阵雨,somewhere,维修班2,0
电源DC220,2019-02-17,深圳南瑞,2023-11-09,5,大雨,somewhere,维修班4,0
CPU板件,2010-02-02,上海惠安,2016-12-05,7,阴,somewhere,维修班1,电压互感器二次回路故障
CPU板件,2015-03-25,许继电气,2025-08-02,11,小雨,somewhere,维修班2,0
电源DC220,2016-03-26,许继电气,2024-01-17,8,冰雹,somewhere,维修班3,0
显示屏,2012-12-02,南瑞继保,2016-10-05,4,大雨,somewhere,维修班1,电流互感器二次回路故障
显示屏,2012-09-28,南瑞继保,2027-07-17,15,晴,somewhere,维修班1,0
电源DC220,2018-06-03,南瑞科技,2026-03-27,8,阴,somewhere,维修班4,0
电源DC220,2018-01-08,深圳南瑞,2021-11-07,4,雷阵雨,somewhere,维修班2,0
显示屏,2013-11-23,南瑞科技,2017-06-28,4,雷阵雨,somewhere,维修班2,开关设备故障
CPU板件,2018-06-19,南瑞科技,2025-03-27,7,雷阵雨,somewhere,维修班2,0
CPU板件,2019-12-24,南瑞科技,2027-09-28,8,冰雹,somewhere,维修班3,0
显示屏,2012-09-14,许继电气,2023-04-05,11,晴,somewhere,维修班4,0
显示屏,2015-03-20,国电南自,2029-12-19,15,阴,somewhere,维修班4,0
电源DC220,2011-11-11,南瑞科技,2015-04-20,4,雷阵雨,somewhere,维修班2,保护装置故障
电源DC220,2010-05-01,南瑞科技,2023-12-06,14,小雨,somewhere,维修班2,0
电源DC220,2015-02-03,国电南自,2027-12-01,13,雷阵雨,somewhere,维修班1,0
CPU板件,2017-09-08,南瑞科技,2022-02-19,5,晴,somewhere,维修班4,0
电源DC220,2019-09-27,国电南自,2026-07-21,7,阴,somewhere,维修班1,0
显示屏,2016-02-26,上海惠安,2018-09-27,3,晴,somewhere,维修班4,直流接地
电源DC220,2020-12-08,南瑞科技,2029-09-01,9,雷阵雨,somewhere,维修班3,0
显示屏,2011-10-29,深圳南瑞,2025-06-24,14,晴,somewhere,维修班1,0
电源DC220,2016-10-15,许继电气,2022-07-26,6,小雨,somewhere,维修班4,0
电源DC220,2013-08-14,南瑞继保,2021-05-12,8,小雨,somewhere,维修班2,电压互感器二次回路故障
显示屏,2015-03-13,南瑞继保,2017-12-17,3,大雨,somewhere,维修班2,老化
电源DC220,2017-12-24,许继电气,2024-11-04,7,雷阵雨,somewhere,维修班3,0
显示屏,2019-02-09,南瑞继保,2032-10-20,14,小雨,somewhere,维修班3,0
电源DC220,2016-03-13,深圳南瑞,2019-11-05,4,雷阵雨,somewhere,维修班1,电流互感器二次回路故障
显示屏,2017-08-17,国电南自,2027-04-15,10,晴,somewhere,维修班3,0
CPU板件,2020-11-09,许继电气,2032-08-16,12,小雨,somewhere,维修班1,0
显示屏,2020-03-27,许继电气,2027-07-31,8,小雨,somewhere,维修班3,0
电源DC220,2018-05-28,南瑞继保,2028-02-07,10,大雨,somewhere,维修班3,0
电源DC220,2013-08-10,南瑞继保,2025-02-23,12,雷阵雨,somewhere,维修班1,0
电源DC220,2019-09-03,许继电气,2028-02-03,9,冰雹,somewhere,维修班1,0
CPU板件,2010-09-30,上海惠安,2023-06-22,13,阴,somewhere,维修班4,0
CPU板件,2011-08-31,上海惠安,2015-03-05,4,晴,somewhere,维修班2,直流接地
CPU板件,2014-09-23,上海惠安,2018-06-26,4,阴,somewhere,维修班2,开关设备故障
电源DC220,2010-02-05,国电南自,2023-08-17,14,大雨,somewhere,维修班3,0
CPU板件,2020-07-25,南瑞科技,2032-01-11,12,大雨,somewhere,维修班2,0
CPU板件,2018-12-26,上海惠安,2028-09-29,10,阴,somewhere,维修班4,0
电源DC220,2011-06-29,上海惠安,2020-04-17,9,冰雹,somewhere,维修班3,直流接地
显示屏,2014-05-13,上海惠安,2021-01-14,7,晴,somewhere,维修班2,开关设备故障
CPU板件,2017-02-19,南瑞继保,2022-11-14,6,晴,somewhere,维修班1,0
电源DC220,2015-01-28,上海惠安,2017-12-17,3,晴,somewhere,维修班4,开关设备故障
电源DC220,2015-01-06,南瑞继保,2029-08-31,15,晴,somewhere,维修班1,0
显示屏,2010-07-14,南瑞科技,2022-02-28,12,晴,somewhere,维修班2,0
电源DC220,2018-10-04,上海惠安,2022-08-18,4,阴,somewhere,维修班3,0
电源DC220,2011-11-28,国电南自,2020-08-06,9,小雨,somewhere,维修班3,直流接地
CPU板件,2018-04-26,许继电气,2033-01-29,15,大雨,somewhere,维修班4,0
电源DC220,2013-07-14,南瑞科技,2025-04-19,12,小雨,somewhere,维修班4,0
CPU板件,2014-01-18,许继电气,2020-10-28,7,阴,somewhere,维修班4,老化
CPU板件,2019-05-26,南瑞科技,2022-10-31,4,大雨,somewhere,维修班1,0
显示屏,2012-08-14,上海惠安,2016-05-04,4,小雨,somewhere,维修班4,老化
CPU板件,2012-01-02,许继电气,2024-10-12,13,大雨,somewhere,维修班4,0
CPU板件,2013-08-23,南瑞科技,2026-02-22,13,冰雹,somewhere,维修班3,0
CPU板件,2010-05-05,上海惠安,2019-02-10,9,雷阵雨,somewhere,维修班3,开关设备故障
显示屏,2016-10-12,深圳南瑞,2031-08-12,15,冰雹,somewhere,维修班2,0
CPU板件,2011-02-24,许继电气,2017-08-30,7,阴,somewhere,维修班3,电流互感器二次回路故障
CPU板件,2012-10-19,许继电气,2020-06-02,8,雷阵雨,somewhere,维修班3,继电器触点故障
CPU板件,2015-05-01,国电南自,2026-02-18,11,小雨,somewhere,维修班1,0
电源DC220,2018-04-13,南瑞科技,2025-12-21,8,雷阵雨,somewhere,维修班1,0
CPU板件,2017-10-30,南瑞继保,2020-08-07,3,晴,somewhere,维修班2,直流接地
电源DC220,2020-07-30,南瑞继保,2031-09-26,12,雷阵雨,somewhere,维修班4,0
CPU板件,2017-10-03,深圳南瑞,2024-07-13,7,阴,somewhere,维修班3,0
显示屏,2010-03-20,深圳南瑞,2022-01-01,12,晴,somewhere,维修班3,0
电源DC220,2020-12-25,许继电气,2035-07-05,15,小雨,somewhere,维修班1,0
电源DC220,2012-05-30,许继电气,2018-02-15,6,阴,somewhere,维修班3,直流接地
显示屏,2020-05-19,南瑞继保,2032-02-08,12,阴,somewhere,维修班4,0
电源DC220,2020-06-04,上海惠安,2023-04-03,3,晴,somewhere,维修班4,0
电源DC220,2019-05-29,深圳南瑞,2024-03-27,5,小雨,somewhere,维修班4,0
显示屏,2015-07-28,南瑞科技,2022-03-09,7,晴,somewhere,维修班4,0
显示屏,2015-04-24,国电南自,2024-01-24,9,大雨,somewhere,维修班4,0
电源DC220,2016-06-03,上海惠安,2020-03-28,4,冰雹,somewhere,维修班2,电流互感器二次回路故障
显示屏,2012-12-31,国电南自,2022-09-14,10,小雨,somewhere,维修班3,0
显示屏,2016-05-29,许继电气,2026-03-27,10,晴,somewhere,维修班3,0
显示屏,2012-01-27,上海惠安,2019-11-22,8,小雨,somewhere,维修班1,继电器触点故障
CPU板件,2018-07-06,上海惠安,2026-02-08,8,小雨,somewhere,维修班1,0
电源DC220,2018-04-01,许继电气,2030-05-29,13,阴,somewhere,维修班2,0
显示屏,2019-11-02,南瑞继保,2033-08-28,14,小雨,somewhere,维修班2,0
CPU板件,2012-06-27,国电南自,2019-04-29,7,雷阵雨,somewhere,维修班2,直流接地
电源DC220,2018-10-07,许继电气,2025-05-21,7,晴,somewhere,维修班4,0
CPU板件,2020-06-20,国电南自,2035-04-21,15,冰雹,somewhere,维修班2,0
显示屏,2012-02-03,许继电气,2026-10-05,15,大雨,somewhere,维修班1,0
CPU板件,2017-04-04,南瑞继保,2019-12-25,3,冰雹,somewhere,维修班4,开关设备故障
电源DC220,2019-12-30,许继电气,2024-08-10,5,雷阵雨,somewhere,维修班4,0
CPU板件,2013-10-14,国电南自,2021-07-09,8,雷阵雨,somewhere,维修班4,0
CPU板件,2016-07-21,上海惠安,2028-04-28,12,小雨,somewhere,维修班1,0
CPU板件,2010-08-15,国电南自,2013-03-24,3,小雨,somewhere,维修班4,电压互感器二次回路故障
电源DC220,2011-08-10,南瑞继保,2026-04-29,15,阴,somewhere,维修班2,0
电源DC220,2019-06-09,上海惠安,2029-01-25,10,雷阵雨,somewhere,维修班2,0
显示屏,2014-03-02,许继电气,2016-10-28,3,冰雹,somewhere,维修班3,开关设备故障
CPU板件,2018-06-19,南瑞科技,2021-02-15,3,雷阵雨,somewhere,维修班1,电压互感器二次回路故障
CPU板件,2020-12-27,深圳南瑞,2034-09-26,14,雷阵雨,somewhere,维修班1,0
电源DC220,2019-05-27,南瑞继保,2024-02-14,5,大雨,somewhere,维修班2,0
CPU板件,2017-08-09,上海惠安,2027-03-19,10,阴,somewhere,维修班2,0
CPU板件,2011-07-09,南瑞科技,2021-01-23,10,晴,somewhere,维修班2,老化
CPU板件,2014-09-21,上海惠安,2020-05-25,6,冰雹,somewhere,维修班3,开关设备故障
电源DC220,2019-03-16,南瑞科技,2031-11-28,13,晴,somewhere,维修班3,0
电源DC220,2017-03-31,国电南自,2023-10-31,7,晴,somewhere,维修班2,0
CPU板件,2010-08-05,国电南自,2016-02-13,6,阴,somewhere,维修班2,电流互感器二次回路故障
CPU板件,2020-09-06,南瑞科技,2032-06-09,12,冰雹,somewhere,维修班1,0
显示屏,2013-03-06,许继电气,2027-09-27,15,小雨,somewhere,维修班3,0
电源DC220,2019-05-31,国电南自,2029-03-27,10,晴,somewhere,维修班1,0
电源DC220,2016-12-30,深圳南瑞,2025-07-08,9,冰雹,somewhere,维修班4,0
显示屏,2017-08-10,上海惠安,2021-05-23,4,晴,somewhere,维修班4,继电器触点故障
显示屏,2019-09-21,许继电气,2033-06-18,14,小雨,somewhere,维修班3,0
电源DC220,2019-11-08,国电南自,2030-07-20,11,小雨,somewhere,维修班3,0
显示屏,2020-02-14,许继电气,2034-12-09,15,大雨,somewhere,维修班2,0
显示屏,2010-09-01,南瑞科技,2021-02-15,11,雷阵雨,somewhere,维修班1,继电器触点故障
电源DC220,2015-04-30,许继电气,2022-02-28,7,阴,somewhere,维修班3,0
电源DC220,2014-06-24,许继电气,2026-11-27,13,雷阵雨,somewhere,维修班1,0
CPU板件,2011-02-03,南瑞科技,2018-11-22,8,小雨,somewhere,维修班4,继电器触点故障
电源DC220,2016-05-13,深圳南瑞,2029-02-26,13,大雨,somewhere,维修班1,0
显示屏,2015-09-25,国电南自,2030-07-07,15,大雨,somewhere,维修班2,0
电源DC220,2012-12-01,国电南自,2023-03-25,11,晴,somewhere,维修班2,0
电源DC220,2014-05-18,南瑞科技,2026-03-21,12,雷阵雨,somewhere,维修班4,0
CPU板件,2015-10-23,南瑞继保,2028-04-10,13,雷阵雨,somewhere,维修班1,0
电源DC220,2014-02-04,许继电气,2018-12-08,5,冰雹,somewhere,维修班1,直流接地
CPU板件,2010-02-02,许继电气,2024-09-02,15,雷阵雨,somewhere,维修班1,0
电源DC220,2018-02-10,许继电气,2022-12-29,5,大雨,somewhere,维修班3,0
CPU板件,2013-09-29,深圳南瑞,2020-06-26,7,冰雹,somewhere,维修班2,直流接地
电源DC220,2018-10-21,南瑞科技,2024-03-01,6,大雨,somewhere,维修班2,0
电源DC220,2010-08-31,许继电气,2013-04-26,3,小雨,somewhere,维修班2,直流接地
显示屏,2017-01-24,南瑞继保,2023-09-18,7,小雨,somewhere,维修班3,0
CPU板件,2013-03-19,上海惠安,2015-07-23,3,小雨,somewhere,维修班1,老化
显示屏,2019-09-27,上海惠安,2024-04-07,5,冰雹,somewhere,维修班1,0
CPU板件,2016-05-15,南瑞科技,2019-10-12,4,雷阵雨,somewhere,维修班4,继电器触点故障
电源DC220,2020-08-21,南瑞继保,2028-06-08,8,晴,somewhere,维修班4,0
CPU板件,2018-03-25,许继电气,2021-12-07,4,大雨,somewhere,维修班1,0
显示屏,2018-08-15,上海惠安,2025-06-10,7,小雨,somewhere,维修班2,0
电源DC220,2010-06-06,深圳南瑞,2024-04-01,14,雷阵雨,somewhere,维修班4,0
CPU板件,2019-07-02,南瑞科技,2032-04-05,13,小雨,somewhere,维修班4,0
显示屏,2019-02-21,上海惠安,2026-05-08,8,冰雹,somewhere,维修班3,0
电源DC220,2011-08-08,深圳南瑞,2023-04-29,12,雷阵雨,somewhere,维修班4,0
显示屏,2019-01-06,上海惠安,2033-07-17,15,阴,somewhere,维修班2,0
电源DC220,2011-09-29,国电南自,2016-01-09,5,冰雹,somewhere,维修班3,电压互感器二次回路故障
显示屏,2017-07-06,国电南自,2024-01-17,7,大雨,somewhere,维修班4,0
显示屏,2012-07-13,南瑞科技,2025-12-19,14,大雨,somewhere,维修班2,0
显示屏,2019-05-08,南瑞继保,2029-03-15,10,冰雹,somewhere,维修班2,0
显示屏,2018-05-01,南瑞科技,2027-02-23,9,晴,somewhere,维修班3,0
显示屏,2014-02-06,南瑞继保,2022-09-05,9,小雨,somewhere,维修班1,0
CPU板件,2020-04-29,深圳南瑞,2028-12-16,9,小雨,somewhere,维修班3,0
显示屏,2010-04-29,南瑞继保,2017-01-31,7,大雨,somewhere,维修班4,老化
显示屏,2012-04-02,南瑞继保,2023-01-17,11,雷阵雨,somewhere,维修班1,0
CPU板件,2014-01-15,深圳南瑞,2025-08-29,12,小雨,somewhere,维修班2,0
电源DC220,2012-10-19,国电南自,2020-08-08,8,雷阵雨,somewhere,维修班2,保护装置故障
电源DC220,2016-12-12,深圳南瑞,2019-08-27,3,大雨,somewhere,维修班2,电压互感器二次回路故障
CPU板件,2016-10-17,南瑞继保,2028-08-06,12,晴,somewhere,维修班1,0
显示屏,2013-01-23,许继电气,2022-04-01,10,冰雹,somewhere,维修班3,0
CPU板件,2011-08-30,南瑞科技,2024-04-22,13,冰雹,somewhere,维修班2,0
CPU板件,2013-03-03,上海惠安,2023-07-31,11,冰雹,somewhere,维修班3,0
CPU板件,2011-10-09,许继电气,2018-06-22,7,晴,somewhere,维修班2,电流互感器二次回路故障
电源DC220,2020-12-20,南瑞科技,2032-07-13,12,晴,somewhere,维修班1,0
CPU板件,2019-04-03,上海惠安,2026-12-12,8,冰雹,somewhere,维修班2,0
电源DC220,2014-08-11,南瑞继保,2024-03-21,10,大雨,somewhere,维修班4,0
显示屏,2012-10-21,国电南自,2021-05-10,9,晴,somewhere,维修班2,开关设备故障
显示屏,2010-04-03,南瑞科技,2019-05-20,10,阴,somewhere,维修班4,电压互感器二次回路故障
显示屏,2012-01-21,深圳南瑞,2015-09-04,4,阴,somewhere,维修班2,电流互感器二次回路故障
CPU板件,2017-10-17,南瑞科技,2029-07-30,12,阴,somewhere,维修班2,0
电源DC220,2018-10-15,许继电气,2031-07-10,13,小雨,somewhere,维修班4,0
CPU板件,2015-12-20,南瑞继保,2029-07-23,14,大雨,somewhere,维修班2,0
CPU板件,2010-09-30,许继电气,2022-07-05,12,大雨,somewhere,维修班3,0
CPU板件,2010-09-18,国电南自,2016-06-15,6,晴,somewhere,维修班1,开关设备故障
显示屏,2020-10-24,南瑞科技,2025-08-27,5,小雨,somewhere,维修班2,0
显示屏,2011-11-13,深圳南瑞,2021-08-12,10,小雨,somewhere,维修班3,0
电源DC220,2019-04-16,深圳南瑞,2030-09-19,12,冰雹,somewhere,维修班1,0
CPU板件,2013-04-06,深圳南瑞,2016-01-20,3,晴,somewhere,维修班2,继电器触点故障
CPU板件,2014-11-22,国电南自,2018-09-26,4,小雨,somewhere,维修班3,电流互感器二次回路故障
显示屏,2019-01-24,深圳南瑞,2030-07-30,12,小雨,somewhere,维修班2,0
电源DC220,2011-11-02,许继电气,2018-07-05,7,大雨,somewhere,维修班2,直流接地
电源DC220,2020-03-13,上海惠安,2026-06-02,7,晴,somewhere,维修班3,0
CPU板件,2015-07-27,南瑞继保,2020-01-08,5,晴,somewhere,维修班3,电流互感器二次回路故障
CPU板件,2012-11-16,南瑞继保,2020-09-09,8,阴,somewhere,维修班2,电压互感器二次回路故障
CPU板件,2018-01-18,上海惠安,2028-08-26,11,小雨,somewhere,维修班1,0
CPU板件,2020-12-30,许继电气,2031-11-08,11,晴,somewhere,维修班3,0
电源DC220,2016-07-05,南瑞继保,2022-04-25,6,大雨,somewhere,维修班3,0
显示屏,2019-09-23,南瑞科技,2025-07-09,6,雷阵雨,somewhere,维修班2,0
电源DC220,2010-08-26,南瑞继保,2017-07-08,7,雷阵雨,somewhere,维修班3,直流接地
电源DC220,2010-02-17,南瑞科技,2017-11-27,8,小雨,somewhere,维修班2,电压互感器二次回路故障
CPU板件,2013-01-16,南瑞科技,2023-12-07,11,阴,somewhere,维修班4,0
电源DC220,2019-11-18,深圳南瑞,2027-09-07,8,晴,somewhere,维修班1,0
显示屏,2014-01-16,南瑞继保,2017-10-03,4,雷阵雨,somewhere,维修班3,电流互感器二次回路故障
CPU板件,2017-02-08,南瑞科技,2027-11-26,11,小雨,somewhere,维修班2,0
电源DC220,2018-06-25,深圳南瑞,2023-03-11,5,阴,somewhere,维修班2,0
显示屏,2010-07-13,南瑞科技,2018-01-26,8,阴,somewhere,维修班4,保护装置故障
电源DC220,2011-01-22,许继电气,2014-08-29,4,小雨,somewhere,维修班1,继电器触点故障
显示屏,2018-10-14,深圳南瑞,2023-07-17,5,雷阵雨,somewhere,维修班3,0
显示屏,2018-08-11,上海惠安,2024-11-05,7,晴,somewhere,维修班2,0
CPU板件,2013-10-24,南瑞科技,2027-08-27,14,晴,somewhere,维修班1,0
显示屏,2015-05-29,上海惠安,2030-01-17,15,冰雹,somewhere,维修班2,0
电源DC220,2014-10-07,许继电气,2025-06-10,11,冰雹,somewhere,维修班3,0
显示屏,2017-07-30,深圳南瑞,2024-04-10,7,小雨,somewhere,维修班1,0
CPU板件,2012-07-04,国电南自,2023-12-22,12,冰雹,somewhere,维修班4,0
CPU板件,2015-05-01,深圳南瑞,2029-12-09,15,晴,somewhere,维修班3,0
电源DC220,2015-02-21,南瑞科技,2024-10-07,10,晴,somewhere,维修班2,0
显示屏,2012-12-09,上海惠安,2027-10-17,15,小雨,somewhere,维修班4,0
显示屏,2011-09-30,许继电气,2021-07-15,10,冰雹,somewhere,维修班1,0
显示屏,2013-10-18,南瑞继保,2020-01-30,7,晴,somewhere,维修班4,老化
CPU板件,2019-03-08,上海惠安,2021-09-03,3,小雨,somewhere,维修班1,0
显示屏,2010-03-12,许继电气,2022-01-13,12,晴,somewhere,维修班4,0
电源DC220,2011-12-13,深圳南瑞,2022-10-14,11,雷阵雨,somewhere,维修班2,0
CPU板件,2012-03-26,南瑞继保,2027-01-20,15,晴,somewhere,维修班4,0
电源DC220,2012-03-16,南瑞继保,2023-09-29,12,冰雹,somewhere,维修班3,0
CPU板件,2012-02-11,南瑞继保,2015-10-31,4,雷阵雨,somewhere,维修班3,电压互感器二次回路故障
显示屏,2019-11-06,许继电气,2025-07-29,6,小雨,somewhere,维修班4,0
显示屏,2017-12-22,南瑞科技,2024-08-30,7,阴,somewhere,维修班4,0
CPU板件,2012-06-08,许继电气,2024-04-22,12,小雨,somewhere,维修班2,0
电源DC220,2019-04-04,国电南自,2021-11-20,3,小雨,somewhere,维修班2,0
显示屏,2016-02-02,许继电气,2030-04-17,15,冰雹,somewhere,维修班4,0
电源DC220,2012-02-09,南瑞科技,2015-07-23,4,大雨,somewhere,维修班2,继电器触点故障
显示屏,2013-07-18,深圳南瑞,2026-05-11,13,大雨,somewhere,维修班1,0
CPU板件,2016-12-06,国电南自,2022-09-22,6,大雨,somewhere,维修班3,0
CPU板件,2012-03-23,上海惠安,2022-11-03,11,小雨,somewhere,维修班2,0
显示屏,2020-03-05,南瑞继保,2030-12-24,11,小雨,somewhere,维修班1,0
CPU板件,2011-04-05,深圳南瑞,2016-11-07,6,晴,somewhere,维修班4,电压互感器二次回路故障
电源DC220,2018-12-26,国电南自,2029-08-10,11,大雨,somewhere,维修班4,0
显示屏,2014-08-08,南瑞继保,2028-05-12,14,小雨,somewhere,维修班4,0
显示屏,2014-10-20,国电南自,2021-06-12,7,冰雹,somewhere,维修班3,0
CPU板件,2018-03-01,上海惠安,2025-12-27,8,小雨,somewhere,维修班4,0
CPU板件,2011-02-21,南瑞科技,2016-12-11,6,小雨,somewhere,维修班2,直流接地
CPU板件,2012-06-09,南瑞科技,2018-01-08,6,晴,somewhere,维修班4,继电器触点故障
电源DC220,2012-01-09,许继电气,2014-08-16,3,冰雹,somewhere,维修班3,电压互感器二次回路故障
显示屏,2017-10-10,南瑞科技,2023-08-02,6,冰雹,somewhere,维修班1,0
显示屏,2012-12-30,南瑞科技,2022-11-16,10,晴,somewhere,维修班2,0
电源DC220,2015-01-21,南瑞继保,2017-11-02,3,阴,somewhere,维修班2,开关设备故障
CPU板件,2014-06-01,许继电气,2026-01-31,12,阴,somewhere,维修班1,0
电源DC220,2013-08-06,南瑞继保,2023-04-29,10,阴,somewhere,维修班1,0
CPU板件,2016-07-22,深圳南瑞,2022-04-08,6,晴,somewhere,维修班2,0
CPU板件,2010-01-02,深圳南瑞,2014-10-03,5,小雨,somewhere,维修班4,电压互感器二次回路故障
显示屏,2010-12-17,国电南自,2021-09-12,11,冰雹,somewhere,维修班1,0
CPU板件,2020-02-17,深圳南瑞,2027-12-19,8,大雨,somewhere,维修班2,0
显示屏,2013-10-24,南瑞继保,2022-06-12,9,阴,somewhere,维修班4,0
电源DC220,2013-04-17,深圳南瑞,2020-02-20,7,晴,somewhere,维修班2,老化
电源DC220,2018-01-14,国电南自,2030-11-09,13,阴,somewhere,维修班4,0
电源DC220,2012-07-19,南瑞继保,2022-06-10,10,雷阵雨,somewhere,维修班1,0
电源DC220,2014-10-03,南瑞科技,2019-07-26,5,晴,somewhere,维修班1,老化
显示屏,2017-09-25,许继电气,2027-07-21,10,雷阵雨,somewhere,维修班1,0
显示屏,2017-05-15,许继电气,2020-11-05,5,阴,somewhere,维修班2,继电器触点故障
显示屏,2014-12-06,深圳南瑞,2026-08-21,12,冰雹,somewhere,维修班2,0
显示屏,2012-10-17,南瑞继保,2024-08-11,12,晴,somewhere,维修班1,0
显示屏,2018-04-26,许继电气,2030-03-10,12,大雨,somewhere,维修班1,0
电源DC220,2018-03-13,许继电气,2028-11-18,11,雷阵雨,somewhere,维修班3,0
CPU板件,2019-04-17,南瑞科技,2024-02-22,5,雷阵雨,somewhere,维修班1,0
显示屏,2010-03-03,上海惠安,2018-12-29,9,阴,somewhere,维修班1,直流接地
CPU板件,2014-07-01,许继电气,2028-11-11,15,大雨,somewhere,维修班1,0
电源DC220,2017-07-24,南瑞继保,2032-05-06,15,阴,somewhere,维修班4,0
电源DC220,2012-07-26,南瑞科技,2027-04-16,15,阴,somewhere,维修班3,0
电源DC220,2019-01-10,南瑞继保,2030-10-09,12,小雨,somewhere,维修班4,0
显示屏,2020-09-09,许继电气,2035-07-16,15,雷阵雨,somewhere,维修班3,0
